period,surprise_direction,horizon,n_events,mean_car,median_car,std_car,stderr_car
post_2020,beats,car_3d,9799,0.9018,0.714,6.3203,0.0638
post_2020,beats,car_5d,9795,0.9535,0.6872,7.462,0.0754
post_2020,beats,car_10d,9789,1.0212,0.5869,8.5363,0.0863
post_2020,beats,car_20d,9777,1.2431,0.5711,10.4542,0.1057
post_2020,beats,car_40d,9634,0.974,0.0812,13.2321,0.1348
post_2020,beats,car_60d,9379,1.2904,-0.041,17.6814,0.1826
post_2020,inline,car_3d,525,-1.4893,-1.2455,6.082,0.2654
post_2020,inline,car_5d,525,-1.5645,-1.4397,7.2957,0.3184
post_2020,inline,car_10d,525,-1.7104,-1.7846,8.0729,0.3523
post_2020,inline,car_20d,525,-1.4704,-1.629,9.6016,0.419
post_2020,inline,car_40d,522,-2.0745,-2.5519,11.7265,0.5133
post_2020,inline,car_60d,509,-1.9274,-2.1078,14.1969,0.6293
post_2020,misses,car_3d,2363,-2.1994,-1.9047,6.9609,0.1432
post_2020,misses,car_5d,2363,-2.0963,-2.0943,8.1473,0.1676
post_2020,misses,car_10d,2361,-2.0119,-1.9794,9.392,0.1933
post_2020,misses,car_20d,2361,-2.1381,-2.5111,11.8637,0.2442
post_2020,misses,car_40d,2342,-2.6361,-3.4685,14.9618,0.3092
post_2020,misses,car_60d,2305,-2.5826,-3.6743,17.8794,0.3724
pre_2020,beats,car_3d,6568,1.1685,0.9839,5.293,0.0653
pre_2020,beats,car_5d,6568,1.2076,1.0465,6.0531,0.0747
pre_2020,beats,car_10d,6568,1.3185,1.172,6.7015,0.0827
pre_2020,beats,car_20d,6568,1.6172,1.5108,7.7788,0.096
pre_2020,beats,car_40d,6568,1.8329,1.6386,9.5095,0.1173
pre_2020,beats,car_60d,6568,1.776,1.5813,11.5545,0.1426
pre_2020,inline,car_3d,847,-0.4339,-0.6604,5.611,0.1928
pre_2020,inline,car_5d,847,-0.307,-0.574,6.8623,0.2358
pre_2020,inline,car_10d,847,-0.1309,-0.4733,7.7711,0.267
pre_2020,inline,car_20d,847,0.1691,-0.4335,9.0934,0.3125
pre_2020,inline,car_40d,847,0.453,-0.3232,10.531,0.3619
pre_2020,inline,car_60d,847,0.4775,-0.3954,12.5062,0.4297
pre_2020,misses,car_3d,1776,-2.0526,-1.6028,5.4288,0.1288
pre_2020,misses,car_5d,1776,-2.1479,-1.8104,6.1627,0.1462
pre_2020,misses,car_10d,1776,-2.137,-1.9924,6.9868,0.1658
pre_2020,misses,car_20d,1776,-2.007,-2.0058,8.3341,0.1978
pre_2020,misses,car_40d,1776,-1.8973,-2.3608,10.2336,0.2428
pre_2020,misses,car_60d,1776,-2.1199,-2.4446,11.9507,0.2836
