chart_type,period,period_label,surprise_direction,horizon,horizon_days,metric_name,value,n_events,mean_car,median_car,std_car,stderr_car
drift_curve,post_2020,2020-2026,beats,car_3d,3,,,9799,0.9018,0.714,6.3203,0.0638
drift_curve,post_2020,2020-2026,beats,car_5d,5,,,9795,0.9535,0.6872,7.462,0.0754
drift_curve,post_2020,2020-2026,beats,car_10d,10,,,9789,1.0212,0.5869,8.5363,0.0863
drift_curve,post_2020,2020-2026,beats,car_20d,20,,,9777,1.2431,0.5711,10.4542,0.1057
drift_curve,post_2020,2020-2026,beats,car_40d,40,,,9634,0.974,0.0812,13.2321,0.1348
drift_curve,post_2020,2020-2026,beats,car_60d,60,,,9379,1.2904,-0.041,17.6814,0.1826
drift_curve,post_2020,2020-2026,inline,car_3d,3,,,525,-1.4893,-1.2455,6.082,0.2654
drift_curve,post_2020,2020-2026,inline,car_5d,5,,,525,-1.5645,-1.4397,7.2957,0.3184
drift_curve,post_2020,2020-2026,inline,car_10d,10,,,525,-1.7104,-1.7846,8.0729,0.3523
drift_curve,post_2020,2020-2026,inline,car_20d,20,,,525,-1.4704,-1.629,9.6016,0.419
drift_curve,post_2020,2020-2026,inline,car_40d,40,,,522,-2.0745,-2.5519,11.7265,0.5133
drift_curve,post_2020,2020-2026,inline,car_60d,60,,,509,-1.9274,-2.1078,14.1969,0.6293
drift_curve,post_2020,2020-2026,misses,car_3d,3,,,2363,-2.1994,-1.9047,6.9609,0.1432
drift_curve,post_2020,2020-2026,misses,car_5d,5,,,2363,-2.0963,-2.0943,8.1473,0.1676
drift_curve,post_2020,2020-2026,misses,car_10d,10,,,2361,-2.0119,-1.9794,9.392,0.1933
drift_curve,post_2020,2020-2026,misses,car_20d,20,,,2361,-2.1381,-2.5111,11.8637,0.2442
drift_curve,post_2020,2020-2026,misses,car_40d,40,,,2342,-2.6361,-3.4685,14.9618,0.3092
drift_curve,post_2020,2020-2026,misses,car_60d,60,,,2305,-2.5826,-3.6743,17.8794,0.3724
drift_curve,pre_2020,2015-2019,beats,car_3d,3,,,6568,1.1685,0.9839,5.293,0.0653
drift_curve,pre_2020,2015-2019,beats,car_5d,5,,,6568,1.2076,1.0465,6.0531,0.0747
drift_curve,pre_2020,2015-2019,beats,car_10d,10,,,6568,1.3185,1.172,6.7015,0.0827
drift_curve,pre_2020,2015-2019,beats,car_20d,20,,,6568,1.6172,1.5108,7.7788,0.096
drift_curve,pre_2020,2015-2019,beats,car_40d,40,,,6568,1.8329,1.6386,9.5095,0.1173
drift_curve,pre_2020,2015-2019,beats,car_60d,60,,,6568,1.776,1.5813,11.5545,0.1426
drift_curve,pre_2020,2015-2019,inline,car_3d,3,,,847,-0.4339,-0.6604,5.611,0.1928
drift_curve,pre_2020,2015-2019,inline,car_5d,5,,,847,-0.307,-0.574,6.8623,0.2358
drift_curve,pre_2020,2015-2019,inline,car_10d,10,,,847,-0.1309,-0.4733,7.7711,0.267
drift_curve,pre_2020,2015-2019,inline,car_20d,20,,,847,0.1691,-0.4335,9.0934,0.3125
drift_curve,pre_2020,2015-2019,inline,car_40d,40,,,847,0.453,-0.3232,10.531,0.3619
drift_curve,pre_2020,2015-2019,inline,car_60d,60,,,847,0.4775,-0.3954,12.5062,0.4297
drift_curve,pre_2020,2015-2019,misses,car_3d,3,,,1776,-2.0526,-1.6028,5.4288,0.1288
drift_curve,pre_2020,2015-2019,misses,car_5d,5,,,1776,-2.1479,-1.8104,6.1627,0.1462
drift_curve,pre_2020,2015-2019,misses,car_10d,10,,,1776,-2.137,-1.9924,6.9868,0.1658
drift_curve,pre_2020,2015-2019,misses,car_20d,20,,,1776,-2.007,-2.0058,8.3341,0.1978
drift_curve,pre_2020,2015-2019,misses,car_40d,40,,,1776,-1.8973,-2.3608,10.2336,0.2428
drift_curve,pre_2020,2015-2019,misses,car_60d,60,,,1776,-2.1199,-2.4446,11.9507,0.2836
period_metric,post_2020,2020-2026,,,,Mean Surprise (%),11.34,12687,,,,
period_metric,post_2020,2020-2026,,,,Median Surprise (%),5.556,12687,,,,
period_metric,post_2020,2020-2026,,,,Beat Rate (%),77.2,12687,,,,
period_metric,post_2020,2020-2026,,,,Mean 3d CAR — Beats (%),0.9018,12687,,,,
period_metric,post_2020,2020-2026,,,,Mean 3d CAR — Misses (%),-2.1994,12687,,,,
period_metric,post_2020,2020-2026,,,,Mean 3d CAR — All (%),0.2253,12687,,,,
period_metric,post_2020,2020-2026,,,,Surprise-Return Correlation,0.1498,12687,,,,
period_metric,pre_2020,2015-2019,,,,Mean Surprise (%),7.758,9191,,,,
period_metric,pre_2020,2015-2019,,,,Median Surprise (%),3.883,9191,,,,
period_metric,pre_2020,2015-2019,,,,Beat Rate (%),71.5,9191,,,,
period_metric,pre_2020,2015-2019,,,,Mean 3d CAR — Beats (%),1.1685,9191,,,,
period_metric,pre_2020,2015-2019,,,,Mean 3d CAR — Misses (%),-2.0526,9191,,,,
period_metric,pre_2020,2015-2019,,,,Mean 3d CAR — All (%),0.3984,9191,,,,
period_metric,pre_2020,2015-2019,,,,Surprise-Return Correlation,0.1873,9191,,,,
